bucket,competitors,honda,other,sov_honda
2013-06-24,0.0,0.0,1.0,
2013-07-08,0.0,0.0,1.0,
2013-08-05,0.0,0.0,1.0,
2013-09-02,0.0,0.0,1.0,
2014-02-17,0.0,0.0,1.0,
2014-04-28,0.0,0.0,1.0,
2014-08-25,0.0,0.0,1.0,
2014-10-13,0.0,0.0,1.0,
2015-03-30,0.0,0.0,1.0,
2015-04-06,0.0,1.0,1.0,1.0
2015-05-04,0.0,0.0,2.0,
2015-06-08,0.0,0.0,1.0,
2015-06-29,0.0,0.0,1.0,
2015-07-06,0.0,0.0,1.0,
2015-07-27,0.0,0.0,1.0,
2015-08-10,0.0,0.0,1.0,
2015-10-05,0.0,0.0,1.0,
2015-10-12,0.0,0.0,1.0,
2015-11-09,0.0,0.0,1.0,
2015-11-16,0.0,0.0,1.0,
2015-11-30,0.0,0.0,1.0,
2015-12-21,0.0,0.0,1.0,
2015-12-28,0.0,0.0,1.0,
2016-01-04,0.0,0.0,2.0,
2016-01-11,0.0,0.0,1.0,
2016-01-18,0.0,0.0,1.0,
2016-02-01,0.0,0.0,1.0,
2016-02-08,0.0,0.0,1.0,
2016-02-22,0.0,1.0,1.0,1.0
2016-02-29,0.0,0.0,1.0,
2016-03-21,0.0,2.0,2.0,1.0
2016-05-02,0.0,1.0,1.0,1.0
2016-06-13,0.0,1.0,0.0,1.0
2016-07-04,0.0,0.0,1.0,
2016-07-18,0.0,0.0,1.0,
2016-08-01,0.0,1.0,0.0,1.0
2016-08-08,0.0,0.0,1.0,
2016-08-15,0.0,1.0,1.0,1.0
2016-08-22,0.0,0.0,3.0,
2016-08-29,0.0,0.0,8.0,
2016-09-05,0.0,0.0,7.0,
2016-09-12,0.0,2.0,3.0,1.0
2016-09-19,0.0,0.0,3.0,
2016-09-26,0.0,0.0,6.0,
2016-10-03,0.0,0.0,10.0,
2016-10-10,0.0,0.0,2.0,
2016-10-17,0.0,0.0,2.0,
2016-10-24,0.0,0.0,2.0,
2016-11-07,0.0,0.0,4.0,
2016-11-14,0.0,0.0,3.0,
2016-11-28,0.0,0.0,2.0,
2016-12-05,0.0,0.0,3.0,
2016-12-12,0.0,0.0,2.0,
2016-12-26,0.0,0.0,2.0,
2017-01-23,0.0,0.0,2.0,
2017-02-20,0.0,0.0,3.0,
2017-03-06,0.0,0.0,4.0,
2017-03-13,0.0,1.0,0.0,1.0
2017-03-27,0.0,2.0,6.0,1.0
2017-04-03,0.0,2.0,6.0,1.0
2017-04-17,0.0,1.0,1.0,1.0
2017-04-24,0.0,1.0,2.0,1.0
2017-05-01,0.0,0.0,3.0,
2017-05-15,0.0,0.0,1.0,
2017-05-22,0.0,0.0,3.0,
2017-05-29,0.0,0.0,2.0,
2017-06-05,0.0,0.0,2.0,
2017-06-12,0.0,0.0,1.0,
2017-06-19,0.0,0.0,2.0,
2017-06-26,0.0,1.0,2.0,1.0
2017-07-03,0.0,0.0,1.0,
2017-07-10,0.0,0.0,4.0,
2017-07-17,0.0,0.0,1.0,
2017-07-24,0.0,1.0,0.0,1.0
2017-07-31,0.0,0.0,1.0,
2017-08-07,0.0,0.0,1.0,
2017-08-14,0.0,0.0,1.0,
2017-08-21,0.0,0.0,2.0,
2017-08-28,0.0,1.0,8.0,1.0
2017-09-04,0.0,1.0,11.0,1.0
2017-09-11,0.0,0.0,3.0,
2017-09-18,0.0,0.0,3.0,
2017-09-25,0.0,1.0,1.0,1.0
2017-10-02,0.0,1.0,2.0,1.0
2017-10-09,0.0,2.0,1.0,1.0
2017-10-16,0.0,0.0,1.0,
2017-10-23,0.0,0.0,1.0,
2017-10-30,0.0,2.0,5.0,1.0
2017-11-06,0.0,0.0,2.0,
2017-11-13,0.0,2.0,3.0,1.0
2017-11-20,0.0,0.0,3.0,
2017-11-27,0.0,1.0,3.0,1.0
2017-12-04,0.0,0.0,1.0,
2017-12-11,0.0,0.0,5.0,
2017-12-18,0.0,1.0,1.0,1.0
2017-12-25,0.0,0.0,6.0,
2018-01-01,0.0,0.0,1.0,
2018-01-08,0.0,0.0,6.0,
2018-01-15,0.0,0.0,7.0,
2018-01-22,0.0,0.0,6.0,
2018-01-29,0.0,0.0,2.0,
2018-02-05,0.0,0.0,4.0,
2018-02-12,0.0,0.0,3.0,
2018-02-19,0.0,0.0,2.0,
2018-02-26,0.0,0.0,5.0,
2018-03-05,0.0,2.0,5.0,1.0
2018-03-12,0.0,1.0,2.0,1.0
2018-03-19,0.0,0.0,1.0,
2018-03-26,0.0,2.0,9.0,1.0
2018-04-02,0.0,0.0,3.0,
2018-04-09,0.0,0.0,1.0,
2018-04-16,0.0,0.0,3.0,
2018-04-23,0.0,1.0,2.0,1.0
2018-04-30,0.0,0.0,2.0,
2018-05-07,0.0,0.0,4.0,
2018-05-14,0.0,0.0,2.0,
2018-05-21,0.0,2.0,1.0,1.0
2018-06-04,0.0,0.0,3.0,
2018-06-11,0.0,2.0,0.0,1.0
2018-06-18,0.0,0.0,4.0,
2018-06-25,0.0,0.0,4.0,
2018-07-02,1.0,1.0,4.0,0.5
2018-07-09,0.0,0.0,6.0,
2018-07-16,0.0,1.0,13.0,1.0
2018-07-23,0.0,0.0,5.0,
2018-07-30,1.0,2.0,8.0,0.6666666666666666
2018-08-06,0.0,0.0,1.0,
2018-08-13,1.0,1.0,11.0,0.5
2018-08-20,0.0,0.0,7.0,
2018-08-27,0.0,0.0,8.0,
2018-09-03,0.0,1.0,12.0,1.0
2018-09-10,0.0,1.0,16.0,1.0
2018-09-17,0.0,2.0,8.0,1.0
2018-09-24,0.0,5.0,11.0,1.0
2018-10-01,0.0,3.0,7.0,1.0
2018-10-08,0.0,3.0,5.0,1.0
2018-10-15,0.0,2.0,9.0,1.0
2018-10-22,0.0,4.0,2.0,1.0
2018-10-29,0.0,1.0,2.0,1.0
2018-11-05,0.0,0.0,4.0,
2018-11-12,0.0,0.0,9.0,
2018-11-19,0.0,2.0,10.0,1.0
2018-11-26,0.0,0.0,7.0,
2018-12-03,0.0,1.0,8.0,1.0
2018-12-10,0.0,0.0,4.0,
2018-12-17,0.0,0.0,1.0,
2018-12-24,0.0,0.0,5.0,
2018-12-31,0.0,2.0,4.0,1.0
2019-01-07,0.0,0.0,4.0,
2019-01-14,1.0,2.0,1.0,0.6666666666666666
2019-01-21,0.0,2.0,3.0,1.0
2019-01-28,0.0,0.0,1.0,
2019-02-04,0.0,1.0,2.0,1.0
2019-02-11,0.0,3.0,3.0,1.0
2019-02-18,0.0,2.0,2.0,1.0
2019-02-25,0.0,2.0,3.0,1.0
2019-03-04,0.0,3.0,5.0,1.0
2019-03-11,1.0,1.0,3.0,0.5
2019-03-18,1.0,2.0,4.0,0.6666666666666666
2019-03-25,0.0,4.0,2.0,1.0
2019-04-01,0.0,2.0,2.0,1.0
